,cx1,cy1,cx2,cy2,cx3,cy3,cx4,cy4,cx5,cy5,cx6,cy6
350,1008.281494140625,452.7184753417969,1134.552490234375,616.4732666015625,1128.5,883.5,750.5,879.9533081054688,753.06982421875,690.1585693359375,823.12939453125,549.0426025390625
351,1008.281494140625,452.7184753417969,1134.1307373046875,616.560302734375,1128.099365234375,883.7825927734375,750.5,879.9533081054688,753.0,690.1666870117188,823.12939453125,549.0426025390625
352,1008.281494140625,452.7184753417969,1134.0396728515625,616.6959228515625,1128.197021484375,883.6818237304688,750.4076538085938,879.862548828125,753.0555419921875,689.9444580078125,823.107421875,548.6738891601562
353,1010.0159912109375,454.0646667480469,1134.678466796875,615.5305786132812,1128.099365234375,883.7825927734375,750.0,879.740234375,753.255126953125,690.3367309570312,823.4684448242188,548.4300537109375
354,1010.0159912109375,454.0646667480469,1134.1693115234375,616.1693725585938,1128.099365234375,883.7825927734375,750.2198486328125,879.8458862304688,752.4161376953125,690.0145263671875,823.435791015625,548.5540161132812
355,1008.281494140625,452.7184753417969,1134.1693115234375,616.1693725585938,1128.099365234375,883.7825927734375,749.7738647460938,879.631591796875,752.6337280273438,690.1367797851562,823.4684448242188,548.4300537109375
356,1011.5,455.5,1135.028564453125,615.2228393554688,1129.510498046875,882.398193359375,749.9031372070312,879.6937255859375,752.85546875,689.926513671875,823.4684448242188,548.4300537109375
357,1010.0159912109375,454.0646667480469,1135.1209716796875,615.1209716796875,1129.510498046875,882.398193359375,749.7738647460938,879.631591796875,753.090087890625,690.0686645507812,823.4684448242188,548.4300537109375
358,1009.2731323242188,453.7268981933594,1134.1455078125,616.1992797851562,1128.5,883.5,750.3966674804688,879.9308471679688,753.0,690.5,823.1007690429688,548.563232421875
359,1009.2731323242188,453.7268981933594,1134.678466796875,615.5305786132812,1128.5,883.5,750.3966674804688,879.9308471679688,753.6836547851562,690.7142944335938,823.5,548.5
360,1009.2731323242188,453.7268981933594,1133.5,617.5,1128.0850830078125,883.7659301757812,750.5,879.9533081054688,753.255126953125,690.3367309570312,823.4684448242188,548.4300537109375
361,1009.2731323242188,453.7268981933594,1133.6309814453125,616.3886108398438,1128.099365234375,883.7825927734375,751.0,880.2266845703125,754.0,691.0327758789062,823.2305297851562,548.4139404296875
362,1009.2731323242188,453.7268981933594,1134.3603515625,616.2182006835938,1128.5,883.5,750.8692016601562,880.2156982421875,753.0238037109375,690.1825561523438,823.4684448242188,548.4300537109375
363,1009.2731323242188,453.7268981933594,1134.5,615.5,1128.099365234375,883.7825927734375,751.303466796875,880.14599609375,752.8289184570312,690.0526123046875,823.2305297851562,548.4139404296875
364,1009.2731323242188,453.7268981933594,1134.3193359375,615.5554809570312,1128.5,883.5,750.8692016601562,880.2156982421875,753.0352172851562,690.0469970703125,823.239013671875,548.5062255859375
365,1009.2731323242188,453.7268981933594,1134.1177978515625,616.1810302734375,1128.099365234375,883.7825927734375,749.9031372070312,879.6937255859375,753.053466796875,690.0465087890625,823.2305297851562,548.4139404296875
366,1009.2731323242188,453.7268981933594,1134.0511474609375,616.678955078125,1128.099365234375,883.7825927734375,749.7738647460938,879.631591796875,753.0352172851562,690.0469970703125,823.16796875,548.5747680664062
367,1009.27392578125,453.089111328125,1135.056396484375,615.0564575195312,1128.099365234375,883.7825927734375,750.0,879.5,752.9000244140625,690.0999755859375,822.72802734375,548.8182983398438
368,1010.0,453.5,1135.1864013671875,614.8740844726562,1128.5,883.5,750.0,879.5,752.6016845703125,690.3983154296875,823.0315551757812,548.4004516601562
369,1008.4393310546875,452.8409729003906,1134.751708984375,615.4387817382812,1128.5,883.5,750.5521850585938,879.9818725585938,753.163818359375,690.4310302734375,823.1599731445312,548.4740600585938
370,1008.281494140625,452.7184753417969,1134.0924072265625,616.3695678710938,1128.099365234375,883.7825927734375,750.494140625,879.9501342773438,753.163818359375,690.4310302734375,823.5,548.401611328125
371,1009.2731323242188,453.7268981933594,1135.0968017578125,615.0968017578125,1128.099365234375,883.7825927734375,749.7738647460938,879.631591796875,753.5,690.5,823.2194213867188,548.4267578125
372,1009.2731323242188,453.7268981933594,1134.9959716796875,615.1956176757812,1128.0299072265625,883.7015991210938,750.9110107421875,880.1780395507812,752.8289184570312,690.0526123046875,823.4684448242188,548.4300537109375
373,1010.8595581054688,454.8805847167969,1135.2572021484375,614.9347534179688,1128.099365234375,883.7825927734375,749.948974609375,879.4591674804688,752.8289184570312,690.0526123046875,823.16796875,548.5747680664062
374,1010.8595581054688,454.8805847167969,1135.015625,615.3381958007812,1128.099365234375,883.7825927734375,750.5,879.5,753.0238037109375,690.1825561523438,823.15576171875,548.5
375,1009.2731323242188,453.7268981933594,1135.0526123046875,615.3005981445312,1128.099365234375,883.7825927734375,750.5,879.5,752.8289184570312,690.0526123046875,823.2305297851562,548.4139404296875
376,1009.2731323242188,453.7268981933594,1133.985107421875,616.7772216796875,1128.0299072265625,883.7015991210938,750.042724609375,879.5199584960938,752.418212890625,690.1689453125,823.4684448242188,548.4300537109375
377,1010.0,454.0,1134.0975341796875,616.6097412109375,1128.099365234375,883.7825927734375,749.7738647460938,879.631591796875,753.0352172851562,690.0469970703125,823.5,548.401611328125
378,1010.0,454.0,1134.4278564453125,616.2869873046875,1128.5,883.5,750.0645141601562,880.225830078125,753.0,690.11767578125,823.3612060546875,548.9255981445312
379,1008.4393310546875,452.8409729003906,1134.5,615.5,1128.5,883.5,750.64697265625,879.9494018554688,752.6720581054688,690.102783203125,823.2029418945312,549.1610717773438
380,1008.4393310546875,452.8409729003906,1134.900634765625,615.2174072265625,1129.2657470703125,882.6992797851562,750.9705810546875,879.9407958984375,753.0844116210938,690.1771850585938,823.3943481445312,548.5950317382812
381,1008.4393310546875,452.8409729003906,1134.5,615.5,1128.0850830078125,883.7659301757812,750.64697265625,879.9494018554688,752.7946166992188,689.8392944335938,823.1609497070312,548.53173828125
382,1009.2731323242188,453.7268981933594,1134.5,615.5,1128.1748046875,883.6533813476562,751.0645141601562,880.225830078125,753.9388427734375,690.4910278320312,823.3829956054688,548.5071411132812
383,1009.2731323242188,453.7268981933594,1134.68603515625,615.5211181640625,1129.525634765625,882.4116821289062,749.6710815429688,879.5822143554688,753.6764526367188,690.7205810546875,823.4646606445312,548.5419921875
