Var1,cx1,cy1,cx2,cy2,cx3,cy3,cx4,cy4,cx5,cy5,cx6,cy6
50,1010.05969238281,453.587097167969,1135.5,614.5,1127.74926757812,883.332641601562,750.53662109375,878.680114746094,753.807373046875,689.000366210938,825.25,547.5
51,1009.5,453.5,1134.55688476562,615.556884765625,1127.74926757812,883.332641601562,750.798828125,878.575378417969,754.5,689,824.8046875,547.402404785156
52,1009.97381591797,453.53271484375,1135.5,614.5,1128.20739746094,882.965881347656,750.913696289062,878.635131835938,754.417602539062,689.378479003906,824.560485839844,547.607849121094
53,1009.97381591797,453.53271484375,1134.92736816406,614.927429199219,1127.74926757812,883.332641601562,750.670471191406,878.668395996094,753.995727539062,689.004272460938,825.253479003906,547.465393066406
54,1009.5,453.5,1134.30908203125,616.063659667969,1128.10498046875,883.250915527344,750.670471191406,878.668395996094,753.353820800781,688.719299316406,825.207275390625,547.673645019531
55,1010,453.5,1133.79235839844,615.7548828125,1128.6796875,882.611328125,751.212829589844,878.745727539062,753.5,688.5,825.369567871094,547.5
56,1009.97381591797,453.53271484375,1135.39929199219,614.124084472656,1127.93640136719,883.207092285156,751.687805175781,878.665466308594,753.476867675781,688.677124023438,825.508544921875,547.439086914062
57,1009.97381591797,453.53271484375,1135.39929199219,614.124084472656,1128.64636230469,882.646362304688,751.5,878.787658691406,754.166687011719,688.833312988281,825.21533203125,547.401184082031
58,1010.5,454,1134.69995117188,614.700012207031,1128.64636230469,882.646362304688,751,878.849304199219,753.147033691406,688.5,825.245910644531,547
59,1009.84552001953,453.560546875,1134.82800292969,614.828002929688,1128.93151855469,882.346862792969,751,878.849304199219,754.166687011719,688.833312988281,825.240783691406,547.407653808594
60,1009.5,453.5,1133.84338378906,615.766418457031,1128.90246582031,882.390258789062,750.518188476562,878.589477539062,754.398315429688,688.601684570312,825.276184082031,547.36962890625
61,1009.5,453.5,1133.84338378906,615.766418457031,1128.69677734375,882.696716308594,750.5,878.5,753.383972167969,688.184509277344,825.555847167969,547.215759277344
62,1009.48236083984,453.22119140625,1133.84338378906,615.766418457031,1128.59802246094,882.597534179688,750.5,878.5,753.239807128906,688.362426757812,825.214172363281,547.749389648438
63,1008.28149414062,452.718475341797,1134.49841308594,615.247619628906,1128.59802246094,882.597534179688,750.5,878.5,753.5,688.18115234375,824.811462402344,547.830200195312
64,1009.48236083984,453.22119140625,1134.77697753906,615.073120117188,1128.90246582031,882.390258789062,750.788940429688,878.787414550781,753.582092285156,688.620483398438,825.520080566406,547.357055664062
65,1009.48236083984,453.22119140625,1134.33215332031,615.346862792969,1128.90246582031,882.390258789062,750.781677246094,878.218322753906,753.766967773438,689.044128417969,824.74072265625,547.888610839844
66,1008.28149414062,452.718475341797,1134.62145996094,615.432189941406,1128.46118164062,882.723327636719,750.027282714844,878.596130371094,753.582092285156,688.620483398438,824.938354492188,547.725463867188
67,1009.5,453.5,1134.62145996094,615.432189941406,1128.90246582031,882.390258789062,750.541137695312,878.702331542969,753.239807128906,688.362426757812,824.572204589844,547.565124511719
68,1008.28149414062,452.718475341797,1134.5,615.5,1128.83068847656,882.830627441406,750.5,878.5,754.266845703125,689.309875488281,825.199890136719,547.5546875
69,1008.28149414062,452.718475341797,1134.5,615.5,1128.83068847656,882.830627441406,750.027282714844,878.596130371094,754.5,689.5,825.261108398438,547.610961914062
70,1011.5,455.5,1134.95922851562,616.28515625,1128.8095703125,883.714294433594,750.911010742188,880.178039550781,753.3330078125,690.241088867188,825.260131835938,548.48583984375
71,1010.5,456.5,1135.216796875,618.069763183594,1129.89392089844,883.542541503906,751.147033691406,882.5,751.876708984375,691.547973632812,824.886779785156,550.56787109375
72,1009.27392578125,459.089111328125,1136.5,619.5,1129.56787109375,884.861145019531,750.853454589844,884.146545410156,752.5,694.5,825.3125,553.3125
73,1009,462.5,1137.5,622,1129.87902832031,885.879028320312,749.322448730469,885.958435058594,751.756591796875,697.456481933594,825.101623535156,556.292602539062
74,1008,465.5,1138.5,624.5,1129.89526367188,887.495239257812,748.944152832031,887.939025878906,751.821411132812,700.346984863281,825.753967285156,559.023315429688
75,1007,468.5,1139.5,626.5,1129.32458496094,888.53076171875,749.265075683594,890.607360839844,751.5,703.5,825.963684082031,562.298706054688
76,1005.95245361328,471.821319580078,1139.58557128906,629.374450683594,1129.32922363281,889.329284667969,748.087097167969,892.146423339844,749.5,705.5,826.185913085938,565.780456542969
77,1006,476.5,1139.69934082031,631.231750488281,1129.66394042969,889.663940429688,748.1435546875,894.468078613281,747.747924804688,707.252075195312,826.5,568.970581054688
78,1003,479.5,1140.21508789062,633.537963867188,1130.30322265625,890.303283691406,748.147277832031,897.305603027344,747.5,710.5,827.165161132812,572.077392578125
79,1003.11236572266,483.581420898438,1140.86962890625,635.984619140625,1129.5,891.5,747.043090820312,897.956909179688,748.5,713.5,827.953308105469,575.18798828125
80,1001,486.5,1141.2685546875,637.268615722656,1129.97583007812,891.975830078125,747.185180664062,899.629638671875,746.230773925781,714.230773925781,828.354125976562,577.800659179688
81,1000.42669677734,490.359924316406,1141.79113769531,639.208862304688,1130.09753417969,892.609741210938,747.014343261719,900.301513671875,745.518371582031,716.022094726562,828.86279296875,580.253967285156
82,999.5,493.5,1143.19519042969,639.868957519531,1131.54260253906,891.893920898438,747.028564453125,900.849853515625,746.829711914062,719.023986816406,829.225463867188,582.5
83,1000.88745117188,496.168823242188,1142.88208007812,641.725524902344,1131.5,892.5,746.583435058594,902.356201171875,743.842346191406,718.770812988281,829.405822753906,585.267578125
84,999.5,497.5,1142.64770507812,642.007385253906,1131.12097167969,893.120971679688,746.664428710938,903.16748046875,743.609130859375,720.586303710938,829.011047363281,586.842529296875
85,998.5,498,1143.5,641.5,1132.07263183594,892.072570800781,746.235900878906,903.649108886719,743.5,721.5,829.051574707031,587.068786621094
86,997.5,497.5,1142.70629882812,642.078796386719,1132.07263183594,892.072570800781,746.5,903.5,743.5,721.5,829.046020507812,586.831970214844
87,996.5,497,1143.24499511719,641.808715820312,1132.07263183594,892.072570800781,746.37548828125,903.272583007812,743.5,721.5,828.704467773438,587.081787109375
88,996.5,497,1143.24499511719,641.808715820312,1131.12097167969,893.120971679688,747.207092285156,903.474731445312,743.5,721.5,828.529052734375,587.457885742188
89,996.5,497,1142.76525878906,642.46044921875,1131.12097167969,893.120971679688,746.462585449219,903.587036132812,743.935913085938,722.115356445312,828.796508789062,586.839233398438
90,997,497.5,1142.66638183594,642.285278320312,1131.12097167969,893.120971679688,747.228759765625,904.285400390625,743.5,721.5,828.832824707031,587.008972167969
91,997,497.5,1142.72216796875,642.476135253906,1132.07263183594,892.072570800781,746.5615234375,903.549255371094,743.5,721.5,829.001831054688,587.109680175781
92,997.5,497.5,1143.21936035156,641.839660644531,1131.12097167969,893.120971679688,747.049926757812,903.671752929688,743.5,721.5,828.783142089844,587.413635253906
93,996.5,497,1142.96728515625,642.144836425781,1131.12097167969,893.120971679688,746.37548828125,903.272583007812,743.5,721.5,828.842102050781,587
94,997.765686035156,498.128051757812,1142.61376953125,642.577819824219,1131.12097167969,893.120971679688,746.968078613281,903.712768554688,743.5,721.5,829.216918945312,586.70703125
95,996.736267089844,497.645629882812,1143.24157714844,641.988708496094,1132.07263183594,892.072570800781,746.78955078125,903.7841796875,743.5,721.5,829.046020507812,586.831970214844
96,996.736267089844,497.645629882812,1142.67321777344,642.522033691406,1131.12097167969,893.120971679688,746.595092773438,903.794189453125,744.289367675781,722.462951660156,828.816345214844,587
97,997,497.5,1142.54345703125,642.45654296875,1132.07263183594,892.072570800781,746.603881835938,903.858459472656,744.387939453125,722.612060546875,829.011413574219,587.122680664062
98,996.736267089844,497.645629882812,1142.54345703125,642.45654296875,1132.07263183594,892.072570800781,746.657470703125,903.928161621094,743.558837890625,721.441162109375,828.921691894531,587.320129394531
99,997,497.5,1142.56298828125,642.213256835938,1131.02856445312,893.222839355469,746.534484863281,903.846801757812,743.558837890625,721.441162109375,828.796325683594,587.512329101562
100,997,497.5,1142.63134765625,642.398254394531,1131.29833984375,892.970031738281,746.886047363281,903.727416992188,743.222412109375,721.634033203125,828.850158691406,586.975280761719
101,998.271850585938,498.592224121094,1143.271484375,641.468322753906,1132.07263183594,892.072570800781,746.657470703125,903.928161621094,743.5,721.5,829.5,586.5
102,997,497.5,1143.16662597656,641.833312988281,1132.07263183594,892.072570800781,746.688537597656,903.967224121094,744.387939453125,722.612060546875,829.046020507812,586.831970214844
103,996.736267089844,497.645629882812,1143.65380859375,641.346130371094,1132.07263183594,892.072570800781,747.228759765625,904.285400390625,743.299377441406,721.029907226562,828.888244628906,586.955444335938
104,997,497.5,1142.82348632812,642.233215332031,1131.02416992188,893.024169921875,746.580078125,903.684448242188,743.670227050781,721.393615722656,828.6083984375,587.496948242188
105,998,498.5,1142.57690429688,642.5,1132.07263183594,892.072570800781,746.728881835938,903.4853515625,743.949157714844,721.8671875,829.046020507812,586.831970214844
106,996.736267089844,497.645629882812,1142.56848144531,642.5,1131.943359375,892.214904785156,746.5166015625,903.221252441406,743.949157714844,721.8671875,828.946838378906,586.904541015625
107,996.736267089844,497.645629882812,1142.85876464844,642.314453125,1131.02856445312,893.222839355469,746.462585449219,903.587036132812,743.5,721.5,829.046020507812,586.831970214844
108,996.736267089844,497.645629882812,1143.19897460938,641.875854492188,1131.02856445312,893.222839355469,746.462585449219,903.587036132812,743.871765136719,722.023498535156,828.892761230469,587.293273925781
109,996.736267089844,497.645629882812,1143.46142578125,641.679382324219,1131.67785644531,892.6875,746.941650390625,904.058349609375,743.911804199219,721.996643066406,828.892761230469,587.293273925781
110,996.736267089844,497.645629882812,1143.47631835938,641.666870117188,1131.02856445312,893.222839355469,747.049926757812,903.671752929688,743.949157714844,721.8671875,828.049377441406,588.037048339844
111,996.736267089844,497.645629882812,1143.54626464844,641.581848144531,1131.77978515625,892.395080566406,746.534484863281,903.846801757812,743.5,721.5,828.507690429688,587.59423828125
112,996.736267089844,497.645629882812,1143.04479980469,641.681030273438,1131.77978515625,892.395080566406,747.626586914062,904.045593261719,744.035888671875,722.080139160156,829.011413574219,587.122680664062
113,996.736267089844,497.645629882812,1142.92346191406,642.245483398438,1131.02856445312,893.222839355469,746.599304199219,903.824768066406,744.102233886719,722.348022460938,828.526733398438,587.621215820312
114,996.736267089844,497.645629882812,1143.29406738281,641.705871582031,1131.31982421875,892.90185546875,746.911010742188,904.178039550781,744.266845703125,722.406494140625,828.350524902344,587.701110839844
115,998,498.5,1143.39477539062,641.605285644531,1131.77978515625,892.395080566406,746.911010742188,904.178039550781,744.116760253906,722.363830566406,828.385559082031,587.680358886719
116,998,498.5,1142.56591796875,642.17626953125,1131.943359375,892.214904785156,746.534484863281,903.846801757812,744.243774414062,722.756225585938,828.508056640625,587.954284667969
117,998.559692382812,498.920379638672,1143.04650878906,641.910217285156,1132.07263183594,892.072570800781,747.095031738281,904.206665039062,743.752319335938,721.809631347656,828.749633789062,587.457946777344
118,999.263732910156,499.354370117188,1142.9052734375,642.270202636719,1131.943359375,892.214904785156,746.31787109375,903.064453125,743.912170410156,722.141296386719,829.200317382812,587.679321289062
119,999.263732910156,499.354370117188,1142.70239257812,642.512878417969,1131.02856445312,893.222839355469,746.429077148438,903.466125488281,744.796325683594,722.833312988281,828.6337890625,587.772827148438
120,999.263732910156,499.354370117188,1143.39477539062,641.605285644531,1131.943359375,892.214904785156,746.941650390625,904.058349609375,743.289916992188,721.710083007812,828.043090820312,588.043090820312
121,999.263732910156,499.354370117188,1143.5,641.5,1131.31982421875,892.90185546875,746.599304199219,903.824768066406,743.5,721.5,828.425109863281,587.852966308594
122,999.263732910156,499.354370117188,1143.00939941406,642.339538574219,1131.943359375,892.214904785156,746.534484863281,903.846801757812,743.949523925781,722.188049316406,828.6337890625,587.772827148438
123,999.263732910156,499.354370117188,1142.87231445312,642.525756835938,1131.943359375,892.214904785156,746.462585449219,903.587036132812,743.5419921875,721.4580078125,828.755798339844,587.662780761719
124,998,498.5,1142.67321777344,642.522033691406,1131.31982421875,892.90185546875,746.5,903.609619140625,744.219055175781,722.245849609375,829.229797363281,587.664367675781
125,998.5,499,1142.72216796875,642.476135253906,1131.12097167969,893.120971679688,746.488098144531,903.013000488281,742.874389648438,721.178649902344,828.6337890625,587.772827148438
126,998.5,499,1143.5,641.5,1131.39733886719,892.841247558594,746.54248046875,903.409912109375,744.944274902344,723.445190429688,829.292297363281,587.213684082031
127,998.1953125,498.609375,1143.00939941406,642.339538574219,1131.29833984375,892.970031738281,747.5,903.5,744.464660644531,722.531433105469,828.315856933594,588.059448242188
128,998,498.5,1142.52416992188,642.524169921875,1131.50939941406,893.150939941406,746.657470703125,903.928161621094,742.991882324219,721.081298828125,829.552307128906,587.294677734375
129,998.559692382812,498.920379638672,1142.88208007812,642.624633789062,1131.943359375,892.214904785156,746.548522949219,903.8974609375,743.558837890625,721.441162109375,829,587.5
130,997.271850585938,498.592224121094,1142.20959472656,641.898010253906,1130.59802246094,892.597534179688,745.948974609375,903.459167480469,743.05419921875,721.567504882812,828.5,587.106567382812
131,997,497.5,1140.384765625,641.039916992188,1129.97583007812,891.975830078125,746.5,902.5,742.669494628906,720.330505371094,827.317504882812,587.096984863281
132,995,493.5,1139.75427246094,639.245788574219,1129.5,891.5,746.098876953125,901.14013671875,743.5,719.5,827.5,584.5
