Var1,cx1,cy1,cx2,cy2,cx3,cy3,cx4,cy4,cx5,cy5,cx6,cy6
165,1200,451.5,1341.72375488281,632.692932128906,1338.85717773438,927.571411132812,916.008666992188,918.043395996094,917.5,707.5,995.149169921875,552.2763671875
166,1199.95544433594,451.468719482422,1342.45910644531,632.331604003906,1338.85717773438,927.571411132812,915.518920898438,917.510498046875,917.646789550781,707.279846191406,995.112182617188,552.117065429688
167,1200,451.5,1343.94604492188,631.437377929688,1339.23950195312,927.760559082031,916.174987792969,917.875,917.845642089844,707.699645996094,994.829711914062,552.244567871094
168,1199.767578125,451.337036132812,1343.02392578125,631.581359863281,1338.79663085938,928.22607421875,915.8291015625,917.705017089844,917.646789550781,707.279846191406,995.044799804688,552.391357421875
169,1199.14172363281,450.898101806641,1342.82824707031,631.397155761719,1339.5,927.5,915.772521972656,917.718505859375,917.5,707.179992675781,994.946166992188,552.5
170,1199.767578125,451.337036132812,1343.5,631.5,1339.23950195312,927.760559082031,915.79052734375,917.446350097656,917.646789550781,707.279846191406,994.5,552.5
171,1198.5,450.5,1343.833984375,630.8837890625,1339.45593261719,927.455932617188,915.79052734375,917.446350097656,917.189758300781,706.969055175781,994.195251464844,552.995239257812
172,1200,451.5,1342.89013671875,631.430480957031,1339.06518554688,928.065246582031,915.8291015625,917.705017089844,917.9296875,707.0703125,994.5,552.5
173,1201.5,452.5,1342.89599609375,631.422058105469,1339.43200683594,927.574035644531,915.89404296875,917.747985839844,917.646789550781,707.279846191406,993.947082519531,552.901062011719
174,1201.5,452.5,1342.85693359375,631.970581054688,1338.05810546875,929.065307617188,915.845275878906,917.486572265625,917.712585449219,707.287414550781,994.88232421875,552.411743164062
175,1198.5,450.5,1343.5,631,1338.01025390625,929.011108398438,915.894653320312,917.748413085938,917.712585449219,707.287414550781,995,552.5
176,1200,451.5,1343.61181640625,630.728698730469,1339.41198730469,927.936157226562,915.850524902344,917.514343261719,917.845642089844,707.699645996094,995.001159667969,552.201965332031
177,1199,450.5,1342.78686523438,631.837829589844,1339.38720703125,927.896606445312,915.863098144531,917.515319824219,917.845642089844,707.699645996094,995.065002441406,552.450561523438
178,1199,450.5,1343.31018066406,631.310241699219,1339.27893066406,927.918334960938,915.488830566406,917.318786621094,917.5,707.5,995.411254882812,552.163513183594
179,1199,450.5,1342.91662597656,631.474304199219,1339.5,927.5,916.5,917.5,917.646789550781,707.279846191406,995.162109375,552.245178222656
180,1200,451.5,1342.78686523438,631.837829589844,1339.5,927.5,916.025695800781,917.620483398438,917.506652832031,706.928405761719,995.472534179688,552.307556152344
181,1200.71374511719,452.286254882812,1343.05395507812,631.562805175781,1339.07751464844,927.718322753906,917.431091308594,917.329040527344,917.342956542969,707.073181152344,995.317016601562,552.400207519531
182,1200.71374511719,452.286254882812,1342.70324707031,631.926391601562,1339.07751464844,927.718322753906,916.4853515625,918.02294921875,917.314453125,707.053833007812,994.925231933594,552.386840820312
183,1200.71374511719,452.286254882812,1342.52978515625,631.801452636719,1339.07751464844,927.718322753906,916.538452148438,917.553955078125,917.342956542969,707.073181152344,994.704223632812,552.320190429688
184,1199,451,1342.62182617188,631.747863769531,1338.85717773438,927.571411132812,915.8291015625,917.705017089844,917.314453125,707.053833007812,995.30029296875,552.596252441406
185,1199,450.5,1342.70324707031,631.926391601562,1339.07751464844,927.718322753906,915.950256347656,917.434265136719,918.48388671875,707.903198242188,995.044799804688,552.391357421875
186,1199.94702148438,451.053039550781,1342.50708007812,631.57763671875,1339.5,927.5,916.241882324219,917.912475585938,917.5,706.5,994.946166992188,552.5
187,1199.94702148438,451.053039550781,1343.81103515625,630.358764648438,1339.07751464844,927.718322753906,915.983276367188,917.668151855469,917.5,707,995.044799804688,552.391357421875
188,1199.94702148438,451.053039550781,1342.71691894531,631.640991210938,1339.23913574219,927.760864257812,915.977966308594,917.622314453125,917.443054199219,707.141296386719,995.240478515625,552.266052246094
189,1199.5,451,1343.38952636719,630.868103027344,1339.27893066406,927.918334960938,915.984741210938,917.669189453125,917.235290527344,707,995.122619628906,552.462280273438
190,1200.93176269531,452.068176269531,1343.04467773438,631.203063964844,1339.23913574219,927.760864257812,915.8291015625,917.705017089844,917.419128417969,707.048706054688,995.044799804688,552.391357421875
191,1200,451.5,1343.79602050781,630.599609375,1339.65112304688,927.651062011719,916.000427246094,917.718627929688,917.5,707.5,995.5,551.806640625
192,1199.5,451,1343.77355957031,631.297729492188,1339.28173828125,927.922546386719,915.983276367188,917.668151855469,917.7255859375,707.161560058594,995.393981933594,552.167846679688
193,1198.5,450.5,1343.95556640625,631.797119140625,1339.82507324219,927.873352050781,916.5,918.314819335938,917.940307617188,708.119384765625,995.060791015625,552.789306640625
194,1198.72583007812,451.661285400391,1344.55603027344,633.416625976562,1339.5,929.5,914.9140625,920.0859375,916.76318359375,709.5,994.344421386719,555.114624023438
195,1197.32995605469,454.072174072266,1345.05163574219,636.63037109375,1339.94848632812,930.443115234375,915.309814453125,922.494262695312,916.5,712.5,994.751403808594,557.043579101562
196,1198,458.5,1346.73522949219,639.411315917969,1339.72302246094,931.723022460938,914.4296875,924.5703125,915.368408203125,715.549743652344,994.960021972656,560.440002441406
197,1199.5,463.5,1347.173828125,642.347045898438,1340.5,932.5,913.770935058594,926.45751953125,914.7265625,718.2734375,994.5,564.292236328125
198,1197.53833007812,465.942474365234,1349.68090820312,644.400756835938,1340.74145507812,934.1767578125,913.390380859375,929.414428710938,914.7265625,722.2734375,995.5087890625,567.407470703125
199,1197.4912109375,470.013275146484,1350.92358398438,647.180541992188,1340.67395019531,934.673889160156,912.255004882812,931.651184082031,912.82275390625,724.374694824219,996.078125,570.632690429688
200,1197.99096679688,475.136352539062,1351.25134277344,650.405456542969,1341.5,935.5,913.146423339844,935.223876953125,912.192321777344,727.066223144531,995.629821777344,574.94580078125
201,1195.36645507812,478.200286865234,1351.90795898438,653.223937988281,1340.96423339844,936.964294433594,911.616088867188,937.103576660156,911.5,730.5,996.312866210938,578.667358398438
202,1194.10400390625,482.826629638672,1352.90710449219,654.907165527344,1340.34167480469,938.341735839844,911.5,939.24072265625,911.332580566406,733.606750488281,996.866638183594,582.216003417969
203,1194.04943847656,486.917572021484,1352.64904785156,658.381103515625,1340.82141113281,938.821411132812,912.015075683594,941.231140136719,909.647216796875,735.938049316406,997.627014160156,585.627014160156
204,1193.4912109375,492.013275146484,1353.94982910156,659.553833007812,1341.59765625,939.030456542969,910.934753417969,941.864196777344,908.5,737.5,998.397094726562,588.542785644531
205,1192,495.5,1353.59130859375,663.03955078125,1341.751953125,939.565002441406,911.12158203125,943.889465332031,908.258972167969,739.98974609375,998.097839355469,591.725708007812
206,1190.07580566406,497.848327636719,1355.37805175781,664.142272949219,1341.84033203125,940.705505371094,910.570556640625,945.302734375,907.869323730469,742.788391113281,998.6875,594.3125
207,1187.5,499,1356.23950195312,664.581909179688,1341.5,941.5,910.957641601562,946.371948242188,907.357666015625,744.293212890625,998.088500976562,596.779846191406
208,1190.11804199219,501.572875976562,1354.68188476562,665.160339355469,1341.5,941.5,910.5,946.572265625,907.440185546875,745.4130859375,998.588928222656,597.799499511719
209,1188.06164550781,500.876770019531,1355.47875976562,665.752807617188,1342.70495605469,940.458435058594,910.895385742188,946.889953613281,906.192321777344,744.807678222656,998.039978027344,598.559997558594
210,1190.37902832031,502.431488037109,1356.23950195312,664.581909179688,1341.50720214844,941.507202148438,911,946.950622558594,906.342590332031,744.977661132812,998.5,598.5
211,1190,502.5,1355.38732910156,665.387329101562,1341.5,941.5,910.101196289062,946.956909179688,906.616455078125,745.118713378906,998.5,598.5
212,1188.19104003906,501.617919921875,1356.4638671875,664.398742675781,1342.22216796875,940.777770996094,910.630004882812,947.166198730469,906.616455078125,745.118713378906,998.227478027344,598.448059082031
213,1188.25354003906,501.492950439453,1355.37536621094,665.692626953125,1343.07751464844,939.718322753906,910.440124511719,947.043640136719,906.616455078125,745.118713378906,997.945190429688,598.712951660156
214,1188.19104003906,501.617919921875,1355.5,665.754211425781,1342.541015625,940.098388671875,910.36083984375,946.992431640625,906.00830078125,744.672729492188,997.945190429688,598.712951660156
215,1188.19104003906,501.617919921875,1355.34313964844,665.9345703125,1342.72216796875,940.473693847656,910.440124511719,947.043640136719,906.721374511719,745.278625488281,997.945190429688,598.712951660156
216,1188.5,501.5,1355.5224609375,665.5,1341.78161621094,941.194763183594,910.36083984375,946.992431640625,906.164123535156,744.835876464844,998.5,598.5
217,1188.19104003906,501.617919921875,1356.001953125,665.506103515625,1342.84924316406,940.281555175781,910.440124511719,947.043640136719,906.022338867188,744.657409667969,998.1689453125,598.502990722656
218,1188.19104003906,501.617919921875,1354.99096679688,665.825073242188,1342.541015625,940.098388671875,910.570556640625,947.302734375,906.192321777344,744.807678222656,997.945190429688,598.712951660156
219,1188.19104003906,501.617919921875,1355.595703125,665.934448242188,1342.541015625,940.098388671875,910.36083984375,946.992431640625,906.192321777344,744.807678222656,998.184631347656,598.614807128906
220,1188.5,501.5,1354.61303710938,666.02197265625,1341.5,941.5,911.219970703125,947.219970703125,905.5,743.5,998.5,598.5
221,1188.19104003906,501.617919921875,1355.36743164062,665.632507324219,1341.5,941.5,911.141540527344,947.03271484375,905.735473632812,744.387145996094,998.039978027344,598.559997558594
222,1189.193359375,502.113220214844,1355.89929199219,665.521301269531,1341.5,941.5,910.895812988281,946.89013671875,906.164123535156,744.835876464844,998.174438476562,598.5
223,1189.193359375,502.113220214844,1355.04846191406,666.124816894531,1341.5,941.5,910.527465820312,946.960510253906,905.597534179688,744.502075195312,998.5,598.5
224,1188.19104003906,501.617919921875,1354.68640136719,666.546752929688,1342.74755859375,940.279113769531,910.5,946.660522460938,905.597534179688,744.502075195312,998.5,598.5
225,1188.19104003906,501.617919921875,1355.89086914062,665.181823730469,1342.85717773438,939.571411132812,911.3974609375,947.429443359375,905.597534179688,744.502075195312,998.5,598.5
226,1188.5,502,1354.47729492188,666.477294921875,1342.74755859375,940.279113769531,911.077941894531,947.20947265625,905.597534179688,744.502075195312,998.5,598.5
227,1188.19104003906,501.617919921875,1355.25769042969,665.622497558594,1342.76977539062,940.298522949219,910.36083984375,946.992431640625,906.068176269531,744.931823730469,998.5,598.5
